Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.14439237375032E-13,1.15794142292781E-10,0.00190965947230648,0,0,0,10.7525680664119,0.0411053187815988,8.058472851087E-07,1.23190354266297E-16,0.0606931674358104,-1.40772148436907E-13,0.0669568483506022,0,0,0,0,0,0,package://00000JQG/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/base_link.STL,,复件 2000000^00000JQG机器狗-1/2000001^复件 2000000_00000JQG机器狗-1;复件 2000000^00000JQG机器狗-1/2000002^复件 2000000_00000JQG机器狗-1;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8_3^复件 电机布置位置_00000JQG机器狗-1;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8_2^复件 电机布置位置_00000JQG机器狗-1;复件 2000000^00000JQG机器狗-1/2000002_1^复件 2000000_00000JQG机器狗-1;复件 2000000^00000JQG机器狗-1/2000003^复件 2000000_00000JQG机器狗-1;复件 2000000^00000JQG机器狗-1/2000004_1^复件 2000000_00000JQG机器狗-1;复件 2000000^00000JQG机器狗-1/2000005_1^复件 2000000_00000JQG机器狗-1;复件 数据_1^00000JQG机器狗-1;复件 数据_1^00000JQG机器狗-2;镜向复件 数据_1^00000JQG机器狗-3;复件 2000000^00000JQG机器狗-1/2000005^复件 2000000_00000JQG机器狗-1;复件 数据_1^00000JQG机器狗-3;复件 2000000^00000JQG机器狗-1/2000004^复件 2000000_00000JQG机器狗-1;复件 2000000^00000JQG机器狗-1/2000003_1^复件 2000000_00000JQG机器狗-1;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8^复件 电机布置位置_00000JQG机器狗-1;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8_1^复件 电机布置位置_00000JQG机器狗-1,base_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_Link,0.0822261183438385,-0.00402505837262611,0.000225084195334319,0,0,0,1.67257076036098,0.00182419555053142,-1.80492731642425E-07,1.09793725163875E-05,0.00275851504729931,-7.681489322109E-07,0.00161227157594142,0,0,0,0,0,0,package://00000JQG/meshes/FL_hip_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/FL_hip_Link.STL,,复件 Symmetry of 数据_1^00000JQG机器狗-4;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8_6^复件 电机布置位置_00000JQG机器狗-1,FL_hip_axis,xl,FL_hip_joint,revolute,0.256,0.082501,0.021382,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FL_thigh_Link,-0.00258422324870489,0.0515511863485175,-0.028055285585933,0,0,0,2.13388487966465,0.00435357567561529,-9.9871293903863E-07,0.000145885270374684,0.00541036622931337,-3.83886396210044E-06,0.00193590373069867,0,0,0,0,0,0,package://00000JQG/meshes/FL_thigh_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/FL_thigh_Link.STL,,复件 电机布置位置^00000JQG机器狗-1/第二款电机-1_2^复件 电机布置位置_00000JQG机器狗-1;镜向镜向复件 数据^00000JQG机器狗-7;复件 Symmetry of 狗腿^00000JQG机器狗-2,FL_thigh_axis,yfh,FL_thigh_joint,revolute,0.084,0.019,0,0,0,0,FL_hip_Link,0,-1,0,1,1,0,1,,,,,,,,
FL_calf_Link,-0.03151465549264,-0.0185015919324566,-0.154508375835849,0,0,0,0.31845001661469,0.00459713335533902,1.1339988812636E-08,-0.000644536638032349,0.00473425150859091,5.75522264880646E-08,0.000163974351503863,0,0,0,0,0,0,package://00000JQG/meshes/FL_calf_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/FL_calf_Link.STL,,复件 狗腿_1^00000JQG机器狗-1,FL_calf_axis,yfm,FL_calf_joint,revolute,-0.00051105,0.1085,-0.3125,0,0,0,FL_thigh_Link,0,-1,0,1,1,0,1,,,,,,,,
FL_foot_Link,-0.00835898202593893,-0.00605377894846279,-0.00560196910924343,0,0,0,0.0270374418389649,5.01379393779268E-06,7.52228161145878E-09,1.47724061108711E-06,5.51620874872215E-06,5.06624601341358E-09,3.80709942209709E-06,0,0,0,0,0,0,package://00000JQG/meshes/FL_foot_Link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://00000JQG/meshes/FL_foot_Link.STL,,镜向复件 Symmetry of 狗腿_1^00000JQG机器狗-2,FL_foot_axis,,FL_foot_joint,fixed,-0.058509,-0.012548,-0.30725,0,0,0,FL_calf_Link,0,0,0,,,,,,,,,,,,
FR_hip_Link,0.0822403790820989,0.00402608151966141,0.000225084195334291,0,0,0,1.67257076036048,0.00182419555046525,-1.80347570625102E-07,1.01185274625895E-05,0.00275851504736474,7.74620244950727E-07,0.00161227157594166,0,0,0,0,0,0,package://00000JQG/meshes/FR_hip_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/FR_hip_Link.STL,,复件 Symmetry of 数据_1^00000JQG机器狗-3;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8_7^复件 电机布置位置_00000JQG机器狗-1,FR_hip_axis,xr,FR_hip_joint,revolute,0.256,-0.082501,0.021382,0,0,0,base_link,-1,0,0,1,1,0,1,,,,,,,,
FR_thigh_Link,-0.00292461336790084,-0.0515461904599887,-0.0280599476657899,0,0,0,2.13350253483585,0.00435338197340647,2.11609413066481E-05,0.000145930486846699,0.00541012529729176,3.83152391270219E-06,0.00193582023440642,0,0,0,0,0,0,package://00000JQG/meshes/FR_thigh_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/FR_thigh_Link.STL,,复件 电机布置位置^00000JQG机器狗-1/第二款电机-1_3^复件 电机布置位置_00000JQG机器狗-1;镜向复件 数据^00000JQG机器狗-7;复件 狗腿^00000JQG机器狗-2,FR_thigh_axis,yfh,FR_thigh_joint,revolute,0.084,-0.019,0,0,0,0,FR_hip_Link,0,1,0,0,0,0,0,,,,,,,,
FR_calf_Link,-0.0315346561197509,0.0184965228186439,-0.154520872274196,0,0,0,0.318450016576441,0.00459713335286141,4.82640405954234E-09,-0.000644536637852074,0.00473425150696964,1.14438474090274E-08,0.000163974351020842,0,0,0,0,0,0,package://00000JQG/meshes/FR_calf_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/FR_calf_Link.STL,,复件 狗腿_1^00000JQG机器狗-2,FR_calf_axis,yfm,FR_calf_joint,revolute,-0.00049105,-0.1085,-0.31249,0,0,0,FR_thigh_Link,0,1,0,1,1,0,1,,,,,,,,
FR_foot_Link,-0.00835893154116901,0.00605376747239483,-0.00560213441994689,0,0,0,0.0270375514851152,5.01386670880763E-06,-7.5109132076834E-09,1.47724184834624E-06,5.51621049968371E-06,-5.07293710110891E-09,3.80711486180959E-06,0,0,0,0,0,0,package://00000JQG/meshes/FR_foot_Link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://00000JQG/meshes/FR_foot_Link.STL,,复件 Symmetry of 狗腿_1^00000JQG机器狗-1,FR_foot_axis,,FR_foot_joint,fixed,-0.058529,0.012548,-0.30726,0,0,0,FR_calf_Link,0,0,0,,,,,,,,,,,,
RL_hip_Link,-0.0822403774630709,-0.00402658465062838,0.000224748006798142,0,0,0,1.67257076038881,0.00182419555052874,-1.80417958316918E-07,-1.0118526333714E-05,0.00275851503946,-7.79081710794105E-07,0.00161227158381088,0,0,0,0,0,0,package://00000JQG/meshes/RL_hip_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/RL_hip_Link.STL,,复件 Symmetry of 数据_1^00000JQG机器狗-1;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8_5^复件 电机布置位置_00000JQG机器狗-1,RL_hip_axis,xl,RL_hip_joint,revolute,-0.256,0.082501,0.021382,0,0,0,base_link,1,0,0,1,1,0,1,,,,,,,,
RL_thigh_Link,-0.00455770829798774,0.0515517812254213,-0.0280547720885476,0,0,0,2.13388488095138,0.0043535749458611,1.74865484105295E-05,0.000145900015398017,0.0054103661939653,-3.83879794787698E-06,0.00193590442528237,0,0,0,0,0,0,package://00000JQG/meshes/RL_thigh_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/RL_thigh_Link.STL,,复件 电机布置位置^00000JQG机器狗-1/第二款电机-1_1^复件 电机布置位置_00000JQG机器狗-1;镜向复件 数据^00000JQG机器狗-5;复件 Symmetry of 狗腿^00000JQG机器狗-1,RL_thigh_axis,yrh,RL_thigh_joint,revolute,-0.084,0.018999,0,0,0,0,RL_hip_Link,0,-1,0,0,0,0,0,,,,,,,,
RL_calf_Link,-0.031677984761081,-0.0185015910996491,-0.154668496603852,0,0,0,0.318450017212926,0.00459677794411607,1.13555442740096E-08,-0.000645757662986108,0.00473425151159476,5.75486691084369E-08,0.000164329765667345,0,0,0,0,0,0,package://00000JQG/meshes/RL_calf_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/RL_calf_Link.STL,,复件 狗腿_1^00000JQG机器狗-3,RL_calf_axis,yrm,RL_calf_joint,revolute,-0.00051106,0.1085,-0.3125,0,0,0,RL_thigh_Link,0,-1,0,1,1,0,1,,,,,,,,
RL_foot_Link,-0.00836046459175221,-0.00584617034022727,-0.00559982673195092,0,0,0,0.0270375514970354,5.01468043082436E-06,-7.52704461059224E-09,1.47690914914686E-06,5.51621060723528E-06,-5.05402911730038E-09,3.80630103867456E-06,0,0,0,0,0,0,package://00000JQG/meshes/RL_foot_Link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://00000JQG/meshes/RL_foot_Link.STL,,复件 Symmetry of 狗腿_1^00000JQG机器狗-3,RL_foot_axis,,RL_foot_joint,fixed,-0.058511,-0.012548,-0.3077,0,0,0,RL_calf_Link,0,0,0,,,,,,,,,,,,
RR_hip_Link,-0.0822257393998799,0.00402505837262612,0.000225084195334291,0,0,0,1.67257076036098,0.00182419555053142,-1.80492731641739E-07,-1.09793725163876E-05,0.00275851504729931,7.68148932210741E-07,0.00161227157594142,0,0,0,0,0,0,package://00000JQG/meshes/RR_hip_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://00000JQG/meshes/RR_hip_Link.STL,,复件 Symmetry of 数据_1^00000JQG机器狗-2;复件 电机布置位置^00000JQG机器狗-1/第一款电机-8_4^复件 电机布置位置_00000JQG机器狗-1,RR_hip_axis,xr,RR_hip_joint,revolute,-0.256,-0.082501,0.021382,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
