Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.0063754,1.9125E-17,-5.2009E-18,0,0,0,13.555,0.051785,-6.5573E-18,-6.0673E-18,0.11159,2.7689E-18,0.13989,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/base.STL,0.10196,0.10196,0.10196,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/base.STL,,BAZE_0-1;BAZE_2-1,BODY,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.010697,-0.0033174,3.5324E-18,0,0,0,0.33292,0.0001789,-1.0761E-05,-1.0819E-20,0.0003417,1.4246E-20,0.00025417,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_hip.STL,,HIP_L-1,FL-1,FL_1,FL_hip_joint,revolute,0.2145,0.05,0,0,0,0,base,1,0,0,23.7,30.1,-1.05,1.05,,,,,,,,
FL_thigh,-0.0069171,-0.014196,-0.040905,0,0,0,1.5467,0.0064369,-0.00015187,0.00066183,0.0062486,-0.00089812,0.0014778,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_thigh.STL,,THIGH_L-1,FL-2,FL_2,FL_thigh_joint,revolute,0,0.088,0,0,0,0,FL_hip,0,1,0,23.7,30.1,-1.57,3.49,,,,,,,,
FL_calf,0.012446,6.1697E-10,-0.11689,0,0,0,0.1266,0.00089879,-1.6714E-11,-3.7677E-05,0.0009089,4.713E-12,1.8028E-05,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_calf.STL,,CALF-2,FL-3,FL_3,FL_calf_joint,revolute,0,0,-0.22,0,0,0,FL_thigh,0,1,0,35.55,20.07,-2.72,-0.84,,,,,,,,
FL_foot,-1.5361E-11,9.9171E-11,9.5637E-11,0,0,0,0.03385,4.3616E-06,1.5524E-12,-9.2947E-07,4.8375E-06,-7.5217E-13,5.3891E-06,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_foot.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FL_foot.STL,,FOOT-2,FL-4,FL_3,FL_foot_joint,fixed,0,0,-0.22849,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,-0.010697,0.0033174,-5.3064E-18,0,0,0,0.33292,0.0001789,1.0761E-05,2.9382E-20,0.0003417,1.7422E-20,0.00025417,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_hip.STL,,HIP_L-2,FR-1,FR_1,FR_hip_joint,revolute,0.2145,-0.05,0,0,0,0,base,1,0,0,23.7,30.1,-1.05,1.05,,,,,,,,
FR_thigh,-0.0069171,0.014196,-0.040905,0,0,0,1.5467,0.0064369,0.00015187,0.00066183,0.0062486,0.00089812,0.0014778,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_thigh.STL,,THIGH_R-1,FR-2,FR_2,FR_thigh_joint,revolute,0,-0.088,0,0,0,0,FR_hip,0,1,0,23.7,30.1,-1.57,3.49,,,,,,,,
FR_calf,0.012446,6.1697E-10,-0.11689,0,0,0,0.1266,0.00089879,-1.6714E-11,-3.7677E-05,0.0009089,4.713E-12,1.8028E-05,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_calf.STL,,CALF-1,FR-3,FR_3,FR_calf_joint,revolute,0,0,-0.22,0,0,0,FR_thigh,0,1,0,35.55,20.07,-2.72,-0.84,,,,,,,,
FR_foot,-6.8027E-11,1.2695E-10,2.7911E-11,0,0,0,0.03385,4.3616E-06,1.5049E-12,-9.2947E-07,4.8375E-06,-7.2331E-13,5.3891E-06,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_foot.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/FR_foot.STL,,FOOT-1,FR-4,FR_3,FR_foot_joint,fixed,0,0,-0.22849,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RR_hip,0.010697,0.0033174,6.5589E-19,0,0,0,0.33292,0.0001789,-1.0761E-05,3.9204E-21,0.0003417,-7.4276E-21,0.00025417,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/RR_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://2026【哮天】2.0（仿真模型）(UR3)/meshes/RR_hip.STL,,HIP_L-4,RR-1,RR_1,RR_hip_joint,revolute,-0.2145,-0.05,0,0,0,0,base,1,0,0,23.7,30.1,-1.05,1.05,,,,,,,,
